camp_title,camp_site,addr,latlong,location,style,tags,url
苗栗大湖_溪畔露營區,溪畔露營區,苗栗縣大湖鄉武榮村坑美寮25-7號,"N24.366510,E120.870958",中區,觀賞美景,"吹風機 蝦 溪流",https://www.facebook.com/RiverBankCamping/
苗栗大湖_熊班長小團露,熊班長小團露,苗栗縣大湖鄉小南勢43號,"N24.420203,E120.904269",中區,親子同樂,"吹風機 風景區 不高 景觀",https://www.facebook.com/Bearscaptain/
苗栗大湖_瑪那邦之星蟲蟲生態營地,瑪那邦之星蟲蟲生態營地,"苗栗縣大湖鄉東興村上湖31號 (馬那邦山南線天然湖登山口附近)","N24.368753,E120.900950",中區,觀賞美景,"吹風機 步道 玩具 螢火蟲 櫻花 雲海 景觀 大景 銀河",https://www.facebook.com/WINDandCLOUDcamping/
苗栗大湖_石雲宮,石雲宮,苗栗縣大湖鄉南湖村石屋11號,"N24.390722,E120.875083",中區,觀賞美景,"溜滑梯 沙坑 步道 老街 櫻花 桐花 景觀",http://www.dahu.com.tw/stonecloud/
苗栗大湖_福人居民宿,福人居民宿,苗栗縣大湖鄉大南村6鄰大南勢32-1號,"N24.411972,E120.907250",中區,親子同樂,"玩具 景觀",https://www.facebook.com/foozeng111/
苗栗大湖_細邦道露營區,細邦道露營區,"苗栗縣大湖鄉靜湖村 (大湖乙仙宮附近)","N24.427768,E120.881209",中區,吃喝玩樂,"溜滑梯 低海拔 不高",https://www.facebook.com/shamrock.k0989062900
苗栗大湖_老官道農場,老官道農場,苗栗縣大湖鄉新開村5鄰新開12-1號,"N24.347306,E120.831944",中區,親子同樂,"吹風機 沙坑 昆蟲 蝦 山景",https://www.facebook.com/oldcloseroad/
苗栗大湖_錦雲山莊,錦雲山莊,苗栗縣大湖鄉東興村上湖86號,"N24.378528,E120.902194",中區,觀賞美景,"楓葉 雲海",http://cloud.work.idv.tw/
苗栗大湖_香林露營區,香林露營區,苗栗縣大湖鄉靜湖村香林189號,"N24.431910,E120.892366",中區,觀賞美景,"步道 蝦 美景",https://www.facebook.com/hakkadahu
苗栗大湖_馬拉邦渡假山莊,馬拉邦渡假山莊,苗栗縣大湖鄉東興村上湖87號,"N24.363972,E120.900000",中區,觀賞美景,"楓葉 大景 山景",https://manapan.okgo.tw/
苗栗後龍_藍天綠地露營區,藍天綠地露營區,苗栗縣後龍鎮福寧里頭湖6-1號,"N24.587407,E120.764255",中區,觀賞美景,"雨棚 沙坑 昆蟲 近市區 補給 釣魚 櫻花 桐花 美景 山景",http://www.campingyard.com/
苗栗泰安_一片天露營區,一片天露營區,"苗栗縣泰安鄉八卦村4鄰69號 (泰安隧道附近)","N24.502389,E120.954111",中區,吃喝玩樂,"小溪 釣魚 蝦 溪流",https://sites.google.com/site/eagles1sky/home
苗栗泰安_世外桃源露營區,世外桃源露營區,苗栗縣泰安鄉錦水村13鄰圓墩118號,"N24.477083,E120.937722",中區,觀賞美景,"水池 沙坑 玩具 美景 山景",http://swty5859.pixnet.net/blog
苗栗泰安_二本松露營區,二本松露營區,苗栗縣泰安鄉司馬限林道,"N24.402250,E120.979917",中區,親子同樂,步道,https://www.facebook.com/JCZNog/
